,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
0,Ar,1,811.5311,0.001,811.5311,0.001,35000,230000000.0,B,93143.7600,105462.7596,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,,T5223,L2634
1,Ar,1,810.3693,0.001,810.3692,0.001,20000,75000000.0,B+,93750.5978,106087.2598,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,,T5223,L2634
2,Ar,2,810.36931,2e-05,810.36861,4e-05,12023,,,143371.4364,155708.1075,3s2.3p4.(3P).3d,4F,3/2,3s2.3p4.(3P).4p,4P*,1/2,,,L11520
3,Ar,1,805.3308,0.001,805.3308,0.001,7,2600000.0,C,106237.5518,118651.3950,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,,T1218n,L2634
4,Ar,2,804.376,0.002,804.374663,2.6e-05,5,,,148620.1414,161048.7411,3s2.3p4.(1D).4s,2D,3/2,3s2.3p4.(3P).4p,4S*,3/2,,,L14821
5,Ar,2,816.5405,0.0008,816.539388,2.7e-05,3,,,143107.6801,155351.1206,3s2.3p4.(3P).3d,4F,5/2,3s2.3p4.(3P).4p,4P*,3/2,,,L14821
6,Ar,2,804.4308,0.0008,804.43021,2.6e-05,2,,,183675.6614,196103.4029,3s2.3p4.(3P).4d,4D,7/2,3s2.3p4.(3P<1>).4f,2[4]*,9/2,,,L14821
7,Ar,2,811.065,0.002,811.065882,2.7e-05,1,,,142717.0965,155043.1619,3s2.3p4.(3P).3d,4F,7/2,3s2.3p4.(3P).4p,4P*,5/2,,,L14821
8,Ar,2,808.375,0.002,808.37634,0.00014,1,,,192712.058,205079.1331,3s2.3p4.(3P).4d,2D,3/2,3s2.3p4.(3P<2>).5f,2[2]*,5/2,,,L14821
9,Ar,2,815.0647,0.0008,815.06496,0.00013,1,,,192712.058,204977.6464,3s2.3p4.(3P).4d,2D,3/2,3s2.3p4.(3P<2>).5f,2[3]*,5/2,,,L14821
